variety,date_submit,date_complete,reference_dec,defects2,defects3,defects4,defects5,defects6,defects7,defects8,defects9,defects10,defects11,defects12,defects13,defects14,decfile_ver,decfile_type,NOTES
buerre_bosc,2025-04-08,2025-05-09,2622,holes,decay_minor,cuts,decay,major,limrubs,punctures,winddamage,bruises,plucking,,,,H001,PearBase_Performance,
kanzi,2025-04-09,2025-06-02,2632,green,lenticel,crack_stem (minor),crack_stem (major),bruises,sunburn,punctures,hails,cuts,russets_stem,russets,pests,,K003,KanziPLAU_PerformanceGoodLot,
pomegranate,2025-04-17,2025-06-24,2656,cracking,crack_minor,crack_stem,crack_major,holes,decay,sunburn,,,,,,,F002,pomegranatePLAU_Performance,
granny_smith,25/04/2025,2025-08-05,2679,dirt_stem,,,,,,,,,,,,,Z001,GrannyPLAU_Performance1,
pink_lady,25/04/2025,2025-02-07,2680,pests,sunburn,san_jose,lump,sunburn_major,scab,insect,pits,winddamage,,,,,M009,PinkLadyPLAU_PerformanceGoodLot,
bravo,15/05/2025,23/07/2025,2734,crack_stem,bruises,bruises green,sunburn,holes,russets,c2defects,russets_stem,lenticel,crack_calyx,san_jose,,,J001,BravoPLAU_PerformMM,
granny_smith,20/05/2025,2025-10-07,2761,insect,bruises,flyspecks,hails minor,hails_major,,,,,,,,,Z004,GrannyPLAU_Performance1,flyspecks samples from golden delicious
packham,2025-05-21,2025-05-22,2762,russets,pits,lenticel,sooty_mold,,,,,,,,,,O004,PearPLAU_Performance,
packham,2025-06-17,2025-07-24,2834,decay,leaf,scald,winddamage,shrivel_stem,,,,,,,,,O008,PearPLAU_Performance,
pink_lady,17/07/2025,24/07/2025,2908,limrubs,calyx_minor,sunburn_major,dirt,bruises,decay_stem,decay_stem(leaf),,,,,,,O009,PinkLadyPLAU_PerformanceGoodLot,
kanzi,2025-07-24,2025-08-08,2926,spots,sunburn,decay_stem (minor),stem_average,marks_skin,shrivel,russets,holes_stem,hails,holes,bruises,,,L004,KanziPLAU_PerformanceGoodLot,
rico,2025-07-31,2025-08-11,2943,leaf,san_jose,holes,,,,,,,,,,,F002,RicoPearPLAU_Performance,
granny_smith,2025-04-08,26/08/2025,2950,leaf,russets_stem,sunburn,bitterpit,decay(clean),holes_minor,holes_major,flyspeck,,,,,,Z008,GrannyPLAU_Performance1,
bravo,2025-08-08,13/08/2025,2964,crack_stem,san_jose,russets_stem,,,,,,,,,,,J005,BravoPLAU_PerformMM,
